Date,Price
09/20/2022,19261.0
09/19/2022,19544.5
09/18/2022,19424.0
09/17/2022,20127.0
09/16/2022,19809.9
09/15/2022,19717.0
09/14/2022,20231.0
09/13/2022,20181.0
09/12/2022,22395.0
09/11/2022,21826.0
09/10/2022,21648.0
09/09/2022,21375.0
09/08/2022,19322.0
09/07/2022,19279.5
09/06/2022,18790.0
09/05/2022,19788.0
09/04/2022,20002.0
09/03/2022,19835.0
09/02/2022,19973.0
09/01/2022,20134.0
08/31/2022,20058.0
08/30/2022,19812.0
08/29/2022,20308.0
08/28/2022,19557.8
08/27/2022,20036.0
08/26/2022,20257.9
08/25/2022,21563.1
08/24/2022,21365.6
08/23/2022,21527.0
08/22/2022,21395.0
08/21/2022,21510.0
08/20/2022,21141.0
08/19/2022,20839.0
08/18/2022,23196.7
08/17/2022,23335.0
08/16/2022,23856.0
08/15/2022,24094.0
08/14/2022,24300.0
08/13/2022,24425.0
08/12/2022,24395.2
08/11/2022,23931.5
08/10/2022,23954.2
08/09/2022,23141.0
08/08/2022,23817.0
08/07/2022,23177.9
08/06/2022,22924.0
08/05/2022,23311.0
08/04/2022,22611.7
08/03/2022,22813.9
08/02/2022,22984.0
08/01/2022,23259.0
07/31/2022,23294.0
07/30/2022,23639.0
07/29/2022,23764.0
07/28/2022,23851.6
07/27/2022,22951.0
07/26/2022,21271.0
07/25/2022,21302.6
07/24/2022,22579.2
07/23/2022,22446.0
07/22/2022,22675.9
07/21/2022,23151.8
07/20/2022,23209.0
07/19/2022,23398.0
07/18/2022,22476.0
07/17/2022,20781.0
07/16/2022,21224.0
07/15/2022,20816.0
07/14/2022,20578.0
07/13/2022,20246.0
07/12/2022,19310.5
07/11/2022,19945.0
07/10/2022,20854.6
07/09/2022,21575.8
07/08/2022,21600.0
07/07/2022,21620.0
07/06/2022,20557.1
07/05/2022,20169.0
07/04/2022,20224.0
07/03/2022,19308.8
07/02/2022,19230.0
07/01/2022,19286.0
06/30/2022,19938.0
06/29/2022,20106.6
06/28/2022,20267.0
06/27/2022,20718.0
06/26/2022,21067.0
06/25/2022,21485.0
06/24/2022,21229.0
06/23/2022,21071.0
06/22/2022,19943.0
06/21/2022,20692.9
06/20/2022,20554.1
06/19/2022,20556.0
06/18/2022,18978.0
06/17/2022,20411.0
06/16/2022,20394.0
